"Gene.ID","mycOFF.mean","mycON.mean"
"ALKBH8",12.0868885555556,14.1027736
"ALMS1",5.989614,10.3781314
"ALMS1-IT1",0.668467111111111,1.5315664
"ALOX12",4.088179,1.6617748
"ALOX5",540.840057444444,99.6158051
"ALOX5AP",649.414666111111,170.9859665
"ALPK1",13.6945042222222,2.0027404
"ALPK2",16.454416,2.0838802
"ALPL",0.877343111111111,21.8639825
"ALPP",0.649671777777778,1.8213221
"ALPPL2",1.62618888888889,1.007522
"ALS2",11.1225628888889,6.0897861
"ALX3",1.31198244444444,1.1931743
"ALYREF",81.9281947777778,240.3062272
"AMACR",4.16508388888889,3.6428459
"AMBRA1",32.3661225555556,15.7119916
"AMD1",23.8170702222222,73.1542333
"AMDHD2",23.8406263333333,24.9006938
"AMER1",9.73084922222222,12.410605
"AMFR",99.1291118888889,56.6403573
"AMH",1.52568933333333,2.5909525
"AMICA1",8.15270911111111,25.4304662
"AMIGO3",7.38183233333333,4.6591535
"AMMECR1",7.00672277777778,13.5073937
"AMMECR1L",17.5855954444444,16.2571846
"AMN",4.66072055555556,40.9375838
"AMN1",11.0277828888889,3.5392627
"AMOT",5.751618,3.1345426
"AMOTL2",11.0859935555556,2.0805947
"AMPD2",51.0082478888889,47.2297131
"AMPD3",40.7779911111111,6.2366743
"AMT",14.5971927777778,3.9273456
"AMY2B",6.42330177777778,3.5736332
"AMZ1",2.08857677777778,0.7358177
"AMZ2",30.0269191111111,42.5034857
"AMZ2P1",3.16369655555556,2.5455275
"ANAPC1",13.1242102222222,33.5782353
"ANAPC10",14.0063922222222,18.3077802
"ANAPC11",48.6834877777778,82.3768364
"ANAPC13",61.5167968888889,65.2709427
"ANAPC15",54.2495608888889,78.5130111
"ANAPC16",68.506533,44.4752289
"ANAPC2",63.1494458888889,56.1542646
"ANAPC4",21.6629904444444,27.9273279
"ANAPC5",106.816930111111,196.5586547
"ANAPC7",41.7979537777778,56.3303926
"ANGEL1",12.0680118888889,27.6117254
"ANGEL2",22.1212063333333,17.9772238
"ANGPTL1",0.704149777777778,0.2456852
"ANGPTL2",1.68295366666667,9.553826
"ANGPTL6",17.9627072222222,10.890089
"ANK1",10.816106,1.27658
"ANK2",0.488166,1.5494414
